ordinal,species,in6,in5,in4,in3,in2,in1,total,year,site,period,sjy,dd,dd_sum,cdd_sum,cdd_sumfall,DI,per,elev,siteyear,Tmean,cdd_seas,Cdd_siteave,Cdd_july_siteave,spsiteyear,doy_adult,gdd_adult,elevation,elev.lab
157,Aeropedellus clavatus,0,0,5,4,2,0,11,2008,A1,resurvey,A1_157_2008,0,0,89.1416195863978,89.1416195863978,3.272727272727273,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
163,Aeropedellus clavatus,1,0,2,0,0,0,3,2008,A1,resurvey,A1_163_2008,0.81369040787265,0.81369040787265,105.761011714046,105.761011714046,4.666666666666667,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
168,Aeropedellus clavatus,0,0,2,1,0,0,3,2008,A1,resurvey,A1_168_2008,2.1501653091249,2.1501653091249,124.674092246477,124.674092246477,3.6666666666666665,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
175,Aeropedellus clavatus,6,0,1,0,0,0,7,2008,A1,resurvey,A1_175_2008,6.05,6.05,164.554708966131,164.554708966131,5.714285714285714,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
183,Aeropedellus clavatus,10,0,0,0,0,0,10,2008,A1,resurvey,A1_183_2008,9.48,9.48,219.947148208321,219.947148208321,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
190,Aeropedellus clavatus,8,0,0,0,0,0,8,2008,A1,resurvey,A1_190_2008,4.70564066437368,4.70564066437368,269.657900629524,269.657900629524,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
197,Aeropedellus clavatus,3,0,0,0,0,0,3,2008,A1,resurvey,A1_197_2008,11.77,11.77,318.769983266797,318.769983266797,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Aeropedellus clavatus,187,170.4818151854257,2195,2195m
139,Aeropedellus clavatus,0,0,0,3,1,1,5,2009,A1,resurvey,A1_139_2009,5.13870453959374,5.13870453959374,66.3326743730736,66.3326743730736,2.4,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
148,Aeropedellus clavatus,0,1,2,0,2,2,7,2009,A1,resurvey,A1_148_2009,2.70032053973538,2.70032053973538,82.9168989708945,82.9168989708945,2.7142857142857144,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
156,Aeropedellus clavatus,0,0,3,1,3,0,7,2009,A1,resurvey,A1_156_2009,3.01079732413011,3.01079732413011,101.494228861402,101.494228861402,3,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
163,Aeropedellus clavatus,3,0,6,4,5,0,18,2009,A1,resurvey,A1_163_2009,1.69882687983141,1.69882687983141,114.63781564,114.63781564,3.5555555555555554,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
174,Aeropedellus clavatus,1,0,4,2,0,0,7,2009,A1,resurvey,A1_174_2009,5.16797674660923,5.16797674660923,153.566113496283,153.566113496283,4,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
195,Aeropedellus clavatus,9,0,0,0,0,0,9,2009,A1,resurvey,A1_195_2009,8.2532953584919,8.2532953584919,281.797467632803,281.797467632803,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
203,Aeropedellus clavatus,3,0,0,0,0,0,3,2009,A1,resurvey,A1_203_2009,5.69408341905542,5.69408341905542,331.445235959354,331.445235959354,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
212,Aeropedellus clavatus,4,0,0,0,0,0,4,2009,A1,resurvey,A1_212_2009,3.29999975149515,3.29999975149515,367.370542260995,367.370542260995,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Aeropedellus clavatus,194,246.3326743730736,2195,2195m
142,Aeropedellus clavatus,0,0,0,0,2,4,6,2010,A1,resurvey,A1_142_2010,4.52671393995702,4.52671393995702,34.8709947419787,34.8709947419787,1.3333333333333333,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
149,Aeropedellus clavatus,0,0,0,3,7,7,17,2010,A1,resurvey,A1_149_2010,4.86179973417794,4.86179973417794,57.9821197566483,57.9821197566483,1.7647058823529411,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
154,Aeropedellus clavatus,0,0,3,3,4,4,14,2010,A1,resurvey,A1_154_2010,4.04004137117501,4.04004137117501,71.8508211021709,71.8508211021709,2.357142857142857,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
156,Aeropedellus clavatus,0,0,0,2,3,2,7,2010,A1,resurvey,A1_156_2010,6.10545672956185,6.10545672956185,83.9855109964264,83.9855109964264,2,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
160,Aeropedellus clavatus,0,2,1,4,1,0,8,2010,A1,resurvey,A1_160_2010,5.20495171351702,5.20495171351702,109.056701558965,109.056701558965,3.5,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
168,Aeropedellus clavatus,4,3,5,1,0,0,13,2010,A1,resurvey,A1_168_2010,4.69660547002866,4.69660547002866,124.953208102286,124.953208102286,4.769230769230769,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
176,Aeropedellus clavatus,8,1,9,0,0,0,18,2010,A1,resurvey,A1_176_2010,6.56648826496346,6.56648826496346,168.015116400757,168.015116400757,4.944444444444445,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
183,Aeropedellus clavatus,7,0,2,1,0,0,10,2010,A1,resurvey,A1_183_2010,5.27947201976033,5.27947201976033,213.684508245887,213.684508245887,5.3,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
190,Aeropedellus clavatus,18,0,0,0,0,0,18,2010,A1,resurvey,A1_190_2010,3.53252985840927,3.53252985840927,241.560863774327,241.560863774327,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
201,Aeropedellus clavatus,9,0,1,0,0,0,10,2010,A1,resurvey,A1_201_2010,8.52843609834815,8.52843609834815,325.561307462738,325.561307462738,5.8,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
209,Aeropedellus clavatus,6,0,0,0,0,0,6,2010,A1,resurvey,A1_209_2010,8.70063643757375,8.70063643757375,389.644234579265,389.644234579265,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
217,Aeropedellus clavatus,12,0,0,0,0,0,12,2010,A1,resurvey,A1_217_2010,6.4800661600673,6.4800661600673,444.715286339875,444.715286339875,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
226,Aeropedellus clavatus,8,0,0,0,0,0,8,2010,A1,resurvey,A1_226_2010,5.39109938199955,5.39109938199955,507.872085620736,507.872085620736,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Aeropedellus clavatus,187,214.8709947419787,2195,2195m
140,Aeropedellus clavatus,0,0,0,0,0,4,4,2011,A1,resurvey,A1_140_2011,0,0,33.8124648022774,33.8124648022774,1,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
146,Aeropedellus clavatus,0,0,1,0,3,5,9,2011,A1,resurvey,A1_146_2011,1.5549933626818,1.5549933626818,40.7857505420427,40.7857505420427,1.6666666666666667,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
154,Aeropedellus clavatus,0,0,1,4,3,2,10,2011,A1,resurvey,A1_154_2011,4.06576524091713,4.06576524091713,61.3233096911507,61.3233096911507,2.4,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
160,Aeropedellus clavatus,0,2,4,6,7,0,19,2011,A1,resurvey,A1_160_2011,3.04404226201179,3.04404226201179,88.1418342074078,88.1418342074078,3.0526315789473686,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
167,Aeropedellus clavatus,0,2,1,1,1,0,5,2011,A1,resurvey,A1_167_2011,5.90645718172681,5.90645718172681,118.32104675619,118.32104675619,3.8,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
174,Aeropedellus clavatus,7,2,1,1,0,0,11,2011,A1,resurvey,A1_174_2011,5.21562307590115,5.21562307590115,144.384001643826,144.384001643826,5.363636363636363,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
181,Aeropedellus clavatus,10,0,0,0,0,0,10,2011,A1,resurvey,A1_181_2011,8.19676433,8.19676433,193.127370728125,193.127370728125,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
189,Aeropedellus clavatus,13,0,0,0,0,0,13,2011,A1,resurvey,A1_189_2011,7.116182885,7.116182885,249.654726046105,249.654726046105,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
195,Aeropedellus clavatus,27,0,0,0,0,0,27,2011,A1,resurvey,A1_195_2011,6.615199245,6.615199245,285.963676223008,285.963676223008,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
203,Aeropedellus clavatus,5,0,0,0,0,0,5,2011,A1,resurvey,A1_203_2011,6.41214977769139,6.41214977769139,345.335030182693,345.335030182693,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
207,Aeropedellus clavatus,3,0,0,0,0,0,3,2011,A1,resurvey,A1_207_2011,8.965495525,8.965495525,379.119756052951,379.119756052951,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
215,Aeropedellus clavatus,7,0,0,0,0,0,7,2011,A1,resurvey,A1_215_2011,7.747286255,7.747286255,438.89652564448,438.89652564448,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
225,Aeropedellus clavatus,3,0,0,0,0,0,3,2011,A1,resurvey,A1_225_2011,6.00412624209941,6.00412624209941,513.301539700533,513.301539700533,6,2,2195,A12011,12.603228092024457,670.0550775935069,399.80317666502214,133.44291658597038,A12011Aeropedellus clavatus,175,173.8124648022774,2195,2195m
210,Camnula pellucida,9,1,0,0,0,0,10,1958,A1,initial,A1_210_1958,11.875,11.875,470.656265022126,470.656265022126,5.9,1,2195,A11958,11.913614130434782,761.4365031104185,327.2782187321655,96.30260836721507,A11958Camnula pellucida,NA,NA,2195,2195m
241,Camnula pellucida,9,0,0,0,0,0,9,1958,A1,initial,A1_241_1958,8.595,8.595,751.730607837396,751.730607837396,6,1,2195,A11958,11.913614130434782,761.4365031104185,327.2782187321655,96.30260836721507,A11958Camnula pellucida,NA,NA,2195,2195m
160,Camnula pellucida,0,0,0,0,0,11,11,1959,A1,initial,A1_160_1959,8.235,8.235,116.988340570368,116.988340570368,1,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
167,Camnula pellucida,0,0,0,0,8,3,11,1959,A1,initial,A1_167_1959,7.735,7.735,180.633340570368,180.633340570368,1.7272727272727273,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
174,Camnula pellucida,0,0,0,3,5,1,9,1959,A1,initial,A1_174_1959,11.235,11.235,229.43788844156,229.43788844156,2.2222222222222223,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
183,Camnula pellucida,0,0,7,10,2,1,20,1959,A1,initial,A1_183_1959,8.375,8.375,280.925508188017,280.925508188017,3.15,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
195,Camnula pellucida,1,8,1,0,0,0,10,1959,A1,initial,A1_195_1959,9.375,9.375,371.337942345603,371.337942345603,5,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
202,Camnula pellucida,1,4,3,0,0,0,8,1959,A1,initial,A1_202_1959,8.375,8.375,416.29738610315,416.29738610315,4.75,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
209,Camnula pellucida,2,2,0,0,0,0,4,1959,A1,initial,A1_209_1959,12.875,12.875,486.42238610315,486.42238610315,5.5,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
216,Camnula pellucida,14,2,0,0,0,0,16,1959,A1,initial,A1_216_1959,8.095,8.095,545.42738610315,545.42738610315,5.875,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
223,Camnula pellucida,9,0,0,0,0,0,9,1959,A1,initial,A1_223_1959,12.595,12.595,602.331444425441,602.331444425441,6,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
230,Camnula pellucida,5,0,0,0,0,0,5,1959,A1,initial,A1_230_1959,12.095,12.095,653.098693582466,653.098693582466,6,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
237,Camnula pellucida,19,0,0,0,0,0,19,1959,A1,initial,A1_237_1959,5.595,5.595,700.546819563197,700.546819563197,6,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
243,Camnula pellucida,7,0,0,0,0,0,7,1959,A1,initial,A1_243_1959,8.595,8.595,751.815084657184,751.815084657184,6,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
250,Camnula pellucida,4,0,0,0,0,0,4,1959,A1,initial,A1_250_1959,13.01,0,751.815084657184,814.141921620871,6,1,2195,A11959,12.048940217391305,751.8150846571838,322.72460554716326,112.7402459069191,A11959Camnula pellucida,215,486.988340570368,2195,2195m
159,Camnula pellucida,0,0,0,0,1,10,11,1960,A1,initial,A1_159_1960,2.18522150452102,2.18522150452102,112.658923370825,112.658923370825,1.0909090909090908,1,2195,A11960,11.875516304347826,683.4251618062237,332.0429196739508,118.2290813992198,A11960Camnula pellucida,NA,NA,2195,2195m
168,Camnula pellucida,0,0,0,0,2,1,3,2007,A1,resurvey,A1_168_2007,7.15,7.15,192.860642148565,192.860642148565,1.6666666666666667,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Camnula pellucida,NA,NA,2195,2195m
211,Camnula pellucida,3,0,0,0,0,0,3,2007,A1,resurvey,A1_211_2007,9.65,9.65,585.916526837761,585.916526837761,6,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Camnula pellucida,NA,NA,2195,2195m
218,Camnula pellucida,7,0,0,0,0,0,7,2007,A1,resurvey,A1_218_2007,11.35,11.35,646.366526837761,646.366526837761,6,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Camnula pellucida,NA,NA,2195,2195m
229,Camnula pellucida,5,0,0,0,0,0,5,2007,A1,resurvey,A1_229_2007,8.55,8.55,754.916526837761,754.916526837761,6,2,2195,A12007,13.791929347826088,871.2483372145462,482.5113304818944,171.84533946465416,A12007Camnula pellucida,NA,NA,2195,2195m
175,Camnula pellucida,0,0,0,0,2,1,3,2008,A1,resurvey,A1_175_2008,6.05,6.05,164.554708966131,164.554708966131,1.6666666666666667,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
197,Camnula pellucida,1,1,2,1,0,0,5,2008,A1,resurvey,A1_197_2008,11.77,11.77,318.769983266797,318.769983266797,4.4,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
212,Camnula pellucida,2,1,0,0,0,0,3,2008,A1,resurvey,A1_212_2008,11.79,11.79,462.739821551682,462.739821551682,5.666666666666667,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
224,Camnula pellucida,5,0,0,0,0,0,5,2008,A1,resurvey,A1_224_2008,6.53304359122827,6.53304359122827,575.45786514291,575.45786514291,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
232,Camnula pellucida,7,0,0,0,0,0,7,2008,A1,resurvey,A1_232_2008,6.28215503892451,6.28215503892451,611.324077277404,611.324077277404,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
241,Camnula pellucida,3,0,0,0,0,0,3,2008,A1,resurvey,A1_241_2008,4.74118366763365,4.74118366763365,682.184486129639,682.184486129639,6,2,2195,A12008,11.661195652173912,698.3408488761904,443.3263970839354,184.04835147112553,A12008Camnula pellucida,210,434.554708966131,2195,2195m
174,Camnula pellucida,0,0,1,1,2,3,7,2009,A1,resurvey,A1_174_2009,5.16797674660923,5.16797674660923,153.566113496283,153.566113496283,2,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
189,Camnula pellucida,0,0,3,0,0,0,3,2009,A1,resurvey,A1_189_2009,6.47061863381974,6.47061863381974,238.942221064955,238.942221064955,4,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
195,Camnula pellucida,3,1,0,0,0,0,4,2009,A1,resurvey,A1_195_2009,8.2532953584919,8.2532953584919,281.797467632803,281.797467632803,5.75,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
219,Camnula pellucida,3,0,0,0,0,0,3,2009,A1,resurvey,A1_219_2009,6.63501812010103,6.63501812010103,416.245664261552,416.245664261552,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
227,Camnula pellucida,3,0,0,0,0,0,3,2009,A1,resurvey,A1_227_2009,4.42701561505287,4.42701561505287,461.008253426403,461.008253426403,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
237,Camnula pellucida,5,0,0,0,0,0,5,2009,A1,resurvey,A1_237_2009,3.32866674000058,3.32866674000058,516.633514239149,516.633514239149,6,2,2195,A12009,11.763989266587123,546.664954599874,333.8002900850302,119.51438810609704,A12009Camnula pellucida,204,303.56611349628304,2195,2195m
160,Camnula pellucida,0,0,0,0,0,4,4,2010,A1,resurvey,A1_160_2010,5.20495171351702,5.20495171351702,109.056701558965,109.056701558965,1,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
168,Camnula pellucida,0,0,0,0,4,7,11,2010,A1,resurvey,A1_168_2010,4.69660547002866,4.69660547002866,124.953208102286,124.953208102286,1.3636363636363635,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
176,Camnula pellucida,0,0,1,9,5,1,16,2010,A1,resurvey,A1_176_2010,6.56648826496346,6.56648826496346,168.015116400757,168.015116400757,2.625,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
183,Camnula pellucida,0,0,3,8,6,0,17,2010,A1,resurvey,A1_183_2010,5.27947201976033,5.27947201976033,213.684508245887,213.684508245887,2.823529411764706,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
190,Camnula pellucida,0,4,1,3,0,0,8,2010,A1,resurvey,A1_190_2010,3.53252985840927,3.53252985840927,241.560863774327,241.560863774327,4.125,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
201,Camnula pellucida,1,3,0,0,0,0,4,2010,A1,resurvey,A1_201_2010,8.52843609834815,8.52843609834815,325.561307462738,325.561307462738,5.25,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
217,Camnula pellucida,3,0,0,0,0,0,3,2010,A1,resurvey,A1_217_2010,6.4800661600673,6.4800661600673,444.715286339875,444.715286339875,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
226,Camnula pellucida,6,0,0,0,0,0,6,2010,A1,resurvey,A1_226_2010,5.39109938199955,5.39109938199955,507.872085620736,507.872085620736,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
231,Camnula pellucida,6,0,0,0,0,0,6,2010,A1,resurvey,A1_231_2010,7.16597848104575,7.16597848104575,540.188339891124,540.188339891124,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
239,Camnula pellucida,4,0,0,0,0,0,4,2010,A1,resurvey,A1_239_2010,6.13132817434855,6.13132817434855,588.532985180859,588.532985180859,6,2,2195,A12010,11.887217189300907,612.2753855720646,368.39309663688516,143.69185750253456,A12010Camnula pellucida,210,369.056701558965,2195,2195m
